"ISO","Country","Region","rank2015","score2015","rank2016","score2016","rank2017","score2017","rank2018","score2018","rank2019","score2019"
"JOR","Jordan","Middle East and Northern Africa",82,5.192,80,5.303,74,5.336,90,5.161,101,4.906
"KAZ","Kazakhstan","Central and Eastern Europe",54,5.855,54,5.919,60,5.819,60,5.79,60,5.809
"KEN","Kenya","Sub-Saharan Africa",125,4.419,122,4.356,112,4.553,124,4.41,121,4.509
"KOS","Kosovo","Central and Eastern Europe",69,5.589,77,5.401,78,5.279,66,5.662,46,6.1
"KWT","Kuwait","Middle East and Northern Africa",39,6.295,41,6.239,39,6.105,45,6.083,51,6.021
"KGZ","Kyrgyzstan","Central and Eastern Europe",77,5.286,85,5.185,98,5.004,92,5.131,86,5.261
"LAO","Laos","Southeastern Asia",99,4.876,102,4.876,NA,NA,110,4.623,105,4.796
"LVA","Latvia","Central and Eastern Europe",89,5.098,68,5.56,54,5.85,53,5.933,53,5.94
"LBN","Lebanon","Middle East and Northern Africa",103,4.839,93,5.129,88,5.225,80,5.358,91,5.197
"LSO","Lesotho","Sub-Saharan Africa",97,4.898,NA,NA,139,3.808,141,3.808,144,3.802
"LBR","Liberia","Sub-Saharan Africa",116,4.571,150,3.622,148,3.533,149,3.495,141,3.975
"LBY","Libya","Middle East and Northern Africa",63,5.754,67,5.615,68,5.525,70,5.566,72,5.525
"LTU","Lithuania","Central and Eastern Europe",56,5.833,60,5.813,52,5.902,50,5.952,42,6.149
"LUX","Luxembourg","Western Europe",17,6.946,20,6.871,18,6.863,17,6.91,14,7.09
"MKD","Macedonia","Central and Eastern Europe",93,5.007,95,5.121,92,5.175,89,5.185,NA,NA
"MDG","Madagascar","Sub-Saharan Africa",147,3.681,148,3.695,144,3.644,143,3.774,143,3.933
"MWI","Malawi","Sub-Saharan Africa",131,4.292,132,4.156,136,3.97,147,3.587,150,3.41
"MYS","Malaysia","Southeastern Asia",61,5.77,47,6.005,42,6.084,35,6.322,80,5.339
"MLI","Mali","Sub-Saharan Africa",138,3.995,135,4.073,127,4.19,118,4.447,128,4.39
"MLT","Malta","Western Europe",37,6.302,30,6.488,27,6.527,22,6.627,22,6.726
"MRT","Mauritania","Sub-Saharan Africa",124,4.436,130,4.201,123,4.292,126,4.356,122,4.49
"MUS","Mauritius","Sub-Saharan Africa",71,5.477,66,5.648,64,5.629,55,5.891,57,5.888
"MEX","Mexico","Latin America and Caribbean",14,7.187,21,6.778,25,6.578,24,6.488,23,6.595
"MDA","Moldova","Central and Eastern Europe",52,5.889,55,5.897,56,5.838,67,5.64,71,5.529
"MNG","Mongolia","Eastern Asia",100,4.874,101,4.907,100,4.955,94,5.125,83,5.285
"MNE","Montenegro","Central and Eastern Europe",82,5.192,88,5.161,83,5.237,81,5.347,73,5.523
"MAR","Morocco","Middle East and Northern Africa",92,5.013,90,5.151,84,5.235,85,5.254,89,5.208
"MOZ","Mozambique","Sub-Saharan Africa",94,4.971,NA,NA,113,4.55,123,4.417,123,4.466
"MMR","Myanmar","Southeastern Asia",129,4.307,119,4.395,114,4.545,130,4.308,131,4.36
"NPL","Nepal","Southern Asia",121,4.514,107,4.793,99,4.962,101,4.88,100,4.913
"NLD","Netherlands","Western Europe",7,7.378,7,7.339,6,7.377,6,7.441,5,7.488
"NZL","New Zealand","Australia and New Zealand",9,7.286,8,7.334,8,7.314,8,7.324,8,7.307
"NIC","Nicaragua","Latin America and Caribbean",57,5.828,48,5.992,43,6.071,41,6.141,45,6.105
"NER","Niger","Sub-Saharan Africa",144,3.845,142,3.856,135,4.028,134,4.166,114,4.628
"NGA","Nigeria","Sub-Saharan Africa",78,5.268,103,4.875,95,5.074,91,5.155,85,5.265
NA,"North Cyprus","Western Europe",66,5.695,62,5.771,61,5.81,NA,NA,NA,NA
"NOR","Norway","Western Europe",4,7.522,4,7.498,1,7.537,2,7.594,3,7.554
"OMN","Oman","Middle East and Northern Africa",22,6.853,NA,NA,NA,NA,NA,NA,NA,NA
"PAK","Pakistan","Southern Asia",81,5.194,92,5.132,80,5.269,75,5.472,67,5.653
"PSE","Palestinian Territories","Middle East and Northern Africa",108,4.715,108,4.754,103,4.775,104,4.743,110,4.696
"PAN","Panama","Latin America and Caribbean",25,6.786,25,6.701,30,6.452,27,6.43,31,6.321
"PRY","Paraguay","Latin America and Caribbean",53,5.878,70,5.538,70,5.493,64,5.681,63,5.743
"PER","Peru","Latin America and Caribbean",58,5.824,64,5.743,63,5.715,65,5.663,65,5.697
"PHL","Philippines","Southeastern Asia",90,5.073,82,5.279,72,5.43,71,5.524,69,5.631
"POL","Poland","Central and Eastern Europe",60,5.791,57,5.835,46,5.973,42,6.123,40,6.182
"PRT","Portugal","Western Europe",88,5.102,94,5.123,89,5.195,77,5.41,66,5.693
"QAT","Qatar","Middle East and Northern Africa",28,6.611,36,6.375,35,6.375,32,6.374,29,6.374
